Name    Long     Lat       Ve    Se    Vn    Sn     Vz   Sz  
KARP 199.94750 55.51036 -8.950 0.460 4.120 0.540 -1.690 0.310
KATY 196.47618 55.04427 -3.330 0.730 -2.240 0.690 -2.750 1.140
KITS 201.79328 56.28817 -10.030 0.800 7.620 0.720 -1.410 1.370
KOPP 199.63324 55.27378 -8.410 0.450 3.400 0.530 -1.200 0.270
LAG 197.70320 54.66411 -3.230 2.100 -0.430 1.580 0.600 3.510
LATE 204.20592 55.82304 -19.310 1.420 32.110 1.180 -17.760 2.350
LITT 200.59643 55.00727 -8.950 0.440 7.970 0.530 -2.360 0.260
LONE 198.00396 54.75572 -5.350 1.680 -2.640 1.290 -2.800 2.690
LSDP 199.50484 55.30205 -8.940 0.450 3.320 0.540 -1.160 0.320
MOUN 199.77436 54.87637 -7.380 0.460 4.270 0.540 2.100 0.330
OLET 200.67226 56.29035 -4.910 1.040 4.680 0.880 4.000 1.930
PANK 196.88680 54.67909 -4.360 0.770 -2.380 0.710 1.620 1.310
PETE 197.38103 54.38387 -3.760 0.450 -2.700 0.540 0.840 0.300
PEVA 200.84544 55.90986 -8.920 0.520 6.400 0.560 -3.330 0.580
PV02 198.19509 55.40581 -7.080 0.670 0.210 0.650 -2.070 1.100
RDMD 200.73319 56.10194 -4.480 1.080 1.400 0.880 3.570 2.050
REEF 197.47702 54.85738 -2.750 2.150 1.750 1.630 0.680 3.620
SATT 197.26802 55.17378 -1.910 0.900 -1.110 0.820 -3.560 1.380
SDP1 199.52450 55.35301 -8.920 0.870 2.230 0.700 0.550 1.160
SEMI 203.30786 56.04807 -14.460 0.440 16.590 0.530 0.620 0.310
SENI 199.85659 56.39762 -7.410 0.480 0.970 0.550 -1.570 0.480
SITK 205.86414 56.54028 -16.120 0.810 30.180 0.750 0.400 1.280
SMNF_SIME 200.73272 54.89667 -9.240 0.450 8.920 0.540 -1.610 0.320
SNDP 199.52451 55.35232 -8.470 0.560 2.200 0.580 0.930 0.520
STAR 200.83012 55.89358 -10.470 0.500 5.800 0.560 -0.830 0.610
SWED 199.47779 55.47776 -7.990 0.450 1.870 0.540 -0.630 0.300
TELE 197.39532 54.98441 -1.530 1.500 -0.830 1.210 -2.380 2.500
TOMH 196.67717 54.74136 -2.930 1.500 -0.930 1.230 4.880 2.610
TRNR 200.16416 55.03361 -8.990 0.440 5.300 0.530 -1.460 0.250
TWIN 200.44541 56.13265 -11.390 1.690 3.840 1.320 10.310 3.430
VSG 200.91345 56.12408 -8.250 1.020 5.190 0.880 -1.020 1.930
WEDG 200.13156 55.24827 -8.680 0.460 5.420 0.540 -1.340 0.340
WIK 202.89138 56.57646 -11.970 0.440 9.600 0.530 0.250 0.290
WOOL 199.87667 55.09769 -8.350 0.480 5.200 0.550 -1.200 0.420
YAST 200.57973 56.38560 -6.560 0.930 1.930 0.810 1.480 1.730
YUK 203.19800 56.19511 -13.580 0.440 14.760 0.540 2.200 0.330
AB06 196.57655 54.88532 -4.060 0.470 -1.530 0.550 0.300 0.370
AB07 199.52324 55.34928 -8.490 0.450 3.830 0.550 -0.920 0.350
AB13 201.49621 56.30733 -9.850 0.450 6.230 0.550 -0.430 0.370
AC02 205.81696 56.95059 -15.660 0.420 19.970 0.530 -1.180 0.260
AC12 200.41044 54.83096 -9.330 0.460 7.630 0.550 -1.920 0.380
AC13 204.37760 55.82190 -18.900 0.430 31.630 0.540 -10.940 0.290
AC21 200.87228 55.92109 -10.080 0.440 5.470 0.530 -0.980 0.270
AC25 197.68595 55.08897 -5.870 0.450 -1.470 0.540 0.150 0.320
AC28 199.95084 55.07849 -8.590 0.440 4.700 0.540 -0.500 0.290
AC40 201.38143 56.93035 -8.930 0.440 1.570 0.540 0.050 0.290
AC41 199.59270 55.90867 -8.550 0.480 1.820 0.570 0.970 0.470
AC42 197.21635 54.47178 -4.470 0.450 -2.150 0.540 1.540 0.310
AC45 205.81904 56.56445 -17.420 0.430 28.070 0.530 -4.710 0.280
AV34 196.28708 54.72491 -4.630 0.490 -2.530 0.570 2.320 0.470
AV37 196.00277 54.70938 -3.590 0.630 1.050 0.690 -1.290 0.930
AV38 196.21913 54.83147 -4.290 0.500 -1.390 0.570 0.650 0.500
AV39 196.00153 54.81134 -4.990 0.510 -0.270 0.580 -0.200 0.540
AV40 196.25703 54.64454 -5.020 0.550 -2.120 0.610 2.140 0.680
BAY1 197.29284 55.19027 -5.400 0.450 -2.430 0.540 -0.090 0.290
BAY2 197.29324 55.19042 -5.620 0.460 -2.350 0.540 0.060 0.340
BAY5 197.29284 55.19027 -5.320 0.450 -1.620 0.540 0.080 0.310
BAY6 197.29324 55.19042 -5.040 0.450 -1.350 0.540 -0.590 0.320
CDB7 197.28153 55.20034 -4.970 0.490 -2.090 0.570 0.320 0.490
CDB8 197.29360 55.19237 -4.020 0.560 -0.050 0.630 1.880 0.750
